繁體	简体	吴拼	原书转写吴拼	页码
獨頭獨腦	独头独脑	doq deu doq nau	doq deu doq nau	267
獨養兒子	独养儿子	doq ian ng tsy	doq ian ng tsy	268
甮	甮	ven2	ven2	268
甮	甮	ven6	ven6	268
甮派	甮派	ven pha	ven pha	268
狠	狠	hen5	hen5	268
狠	狠	hen3	hen3	268
狠命	狠命	hen min	hen min	268
狠性命	狠性命	hen shin min	hen shin min	268
急	急	ciq7	ciq7	268
急繃繃	急绷绷	ciq pan pan	ciq pan pan	269
急鼓鼓	急鼓鼓	ciq ku ku	ciq ku ku	269
蝕	蚀	zhiq8	zhiq8	269
餅	饼	pin3	pin3	269
餅盆籃	饼盆篮	pin ben lae	pin ben lae	269
彎	弯	uae1	uae1	269
彎角	弯角	uae koq	uae koq	269
彎折格亂	弯折格乱	uae ciq kaq loe	uae ciq kaq loe	269
將補	将补	cian pu	cian pu	269
亮	亮	lian6	lian6	270
亮頭	亮头	lian deu	lian deu	270
亮頭裏	亮头里	lian deu li	lian deu li	270
亮梗	亮梗	lian kuan	lian kuan	270
亮眼	亮眼	lian ngae	lian ngae	270
亮穿穿	亮穿穿	lian tshoe tshoe	lian tshoe tshoe	270
亮眼頭絲	亮眼头丝	lian ngae deu sy	lian ngae deu sy	270
亮眼瞎子	亮眼瞎子	lian ngae haq tsy	lian ngae haq tsy	270
亮眼瞎	亮眼瞎	lian ngae haq	lian ngae haq	270
度	度	du6	du6	270
庭𠗶	庭𠗶	din daon	din daon	270
庭𠗶	庭𠗶	jin daon	jin daon	270
㽹	㽹	fae5	fae5	270
凂	凂	uae3	uae3	271
親	亲	chin1	chin1	271
親氣	亲气	chin chi	chin chi	271
親家公	亲家公	chin ko kon	chin ko kon	271
親家姆	亲家姆	chin ko m	chin ko m	271
閣板	阁板	koq pae	koq pae	271
閣頂	阁顶	koq ten	koq ten	271
閣柵	阁栅	koq saq	koq saq	271
閣排凳	阁排凳	koq ba ten	koq ba ten	271
差	差	tsho1	tsho1	271
差人	差人	tsha gnin	tsha gnin	272
差扳	差扳	tsho pae	tsho pae	272
差魚	差鱼	tsho ng	tsho ng	272
差差	差差	tsho tsho	tsho tsho	272
差眼	差眼	tsho ngae	tsho ngae	272
差眼眼	差眼眼	tsho ngae ngae	tsho ngae ngae	272
差一眼	差一眼	tsho iq ngae	tsho iq ngae	272
差鮊魚	差鲌鱼	tsha ba ng	tsha ba ng	272
差來無幾	差来无几	tsho le vu ci	tsho le wu ci	272
差來無幾	差来无几	tsho le wu ci	tsho le wu ci	272
養出	养出	ian tshyuq	ian tshyuq	272
養生	养生	yan san	yan san	272
美孚燈	美孚灯	mei fu ten	mei fu ten	272
送年	送年	son gni	son gni	273
送產	送产	son sae	son sae	273
送轎	送轿	son jiau	son jiau	273
送娘	送娘	son gnian	son gnian	273
送娘子	送娘子	son gnian tsy	son gnian tsy	273
送娘爿	送娘爿	son gnian bae	son gnian bae	273
送嫂	送嫂	son sau	son sau	273
秈粉	籼粉	sae fen	sae fen	273
婁吼	娄吼	leu heu	leu heu	273
前日	前日	zhi gniq	zhi gniq	273
前日子	前日子	zhi gniq tsy	zhi gniq tsy	273
前世	前世	zhi shi	zhi shi	273
前頃	前顷	zhi chian	zhi chian	273
前一頃	前一顷	zhi iq chian	zhi iq chian	273
前夾身	前夹身	zhi kaq shin	zhi kaq shin	273
前駝背	前驼背	zhi dou pei	zhi dou pei	274
前生前世	前生前世	zhi san zhi shi	zhi san zhi shi	274
前腳後頭	前脚后头	zhi ciaq gheu deu	zhi ciq gheu deu	274
前腳後跟	前脚后跟	zhi ciaq gheu ken	zhi ciq gheu ken	274
總只	总只	tson ciq	tson ciq	274
總超	总超	tson chiau	tson chiau	274
總歸仔	总归仔	tson kuei tsy	tson kuei tsy	274
總只是介	总只是介	tson ciq zy ka	tson ciq zy ka	274
總只介	总只介	tson ciq ka	tson ciq ka	274
炮仗	炮仗	phau jian	phau jian	274
炷	炷	tsyu1	tsyu1	274
爛䏘	烂䏘	lae phiq	lae phiq	274
爛賤	烂贱	lae zhi	lae zhi	275
爛屙	烂屙	lae ou	lae ou	275
爛薄屙	烂薄屙	lae boq ou	lae boq ou	275
爛薄稀屙	烂薄稀屙	lae boq shi ou	lae boq shi ou	275
爛薄屙	烂薄屙	lae baq ou	lae baq ou	275
爛薄稀屙	烂薄稀屙	lae baq shi ou	lae baq shi ou	275
爛眼	烂眼	lae ngae	lae ngae	275
爛腐	烂腐	lae vu	lae vu	275
爛好人	烂好人	lae hau gnin	lae hau gnin	275
爛腐貨	烂腐货	lae vu hou	lae vu hou	275
爛貨	烂货	lae hou	lae hou	275
爛泥糊漿	烂泥糊浆	lae gni wu cian	lae gni wu cian	275
剃頭	剃头	thi deu	thi deu	275
剃頭店	剃头店	thi deu ti	thi deu ti	275
剃頭師父	剃头师父	thi deu sy vu	thi deu sy vu	275
剃頭郎	剃头郎	thi deu laon	thi deu laon	275
澆頭	浇头	ciau deu	ciau deu	276
洸	洸	waon6	waon6	276
洸	洸	guaon6	guaon6	276
洞肛	洞肛	don kon	don kon	276
洞眼	洞眼	don ngae	don ngae	276
洞殼板	洞壳板	don khoq pae	don khoq pae	276
洞洞眼	洞洞眼	don don ngae	don don ngae	276
洡	洡	lei6	lei6	276
洡	洡	la6	la6	276
洡手	洡手	lei shieu	lei shieu	276
活奔	活奔	waq pen	waq pen	276
活鬼	活鬼	waq ciu	waq ciu	277
活猻	活狲	waq sen	waq sen	277
活絡	活络	waq loq	waq loq	277
活被	活被	waq bi	waq bi	277
活腳	活脚	waq ciaq	waq ciq	277
活龍介	活龙介	waq lon ka	waq lon ka	277
活猻帽	活狲帽	waq sen mau	waq sen mau	277
活啍活滾	活啍活滚	waq then waq kuen	waq then waq kuen	277
活脫印過	活脱印过	waq thaq in kou	waq thaq in kou	278
活脫塑子	活脱塑子	waq thaq su tsy	waq thaq su tsy	278
活脫過塑	活脱过塑	waq thaq kou su	waq thaq kou su	278
活撞活顛	活撞活颠	waq dzaon waq ti	waq dzaon waq ti	278
涎唾	涎唾	zae thu	zae thu	278
涎唾水	涎唾水	zae thu syu	zae thu syu	278
涎茶水	涎茶水	zae dzo syu	zae dzo syu	278
派	派	pha5	pha5	278
派頭	派头	pha deu	pha deu	278
派司	派司	pha sy	pha sy	278
派派	派派	pha pha	pha pha	278
派司牌	派司牌	pha sy bae	pha sy bae	278
派弗來	派弗来	pha vaq le	pha faq le	278
派克大衣	派克大衣	pha khaq da i	pha khaq da i	279
洵	洵	hen5	hen5	279
㶒	𰛩	thei5	thei5	279
洋火	洋火	yan hou	yan hou	279
洋瓦	洋瓦	yan ngo	yan ngo	279
洋鈿	洋钿	yan di	yan di	279
洋燭	洋烛	yan tsoq	yan tsoq	279
洋蠟燭	洋蜡烛	yan laq tsoq	yan laq tsoq	279
洋銬	洋铐	yan khau	yan khau	279
洋生時	洋生时	yan san zy	yan san zy	279
洋山時	洋山时	yan sae zy	yan sae zy	279
洋皮皮	洋皮皮	yan bi bi	yan bi bi	279
洋芋艿	洋芋艿	yan n na	yan n na	279
洋番薯	洋番薯	yan fae zyu	yan fae zyu	279
洋泡泡	洋泡泡	yan phau phau	yan phau phau	280
洋錢餅	洋钱饼	yan ji pin	yan ji pin	280
洋粉袋	洋粉袋	yan fen de	yan fen de	280
洋蔥頭	洋葱头	yan tshon deu	yan tshon deu	280
洋鉛面桶	洋铅面桶	yan khae mi don	yan khae mi don	280
渾滾	浑滚	wen kuen	wen kuen	280
混滾倒賬	混滚倒账	wen kuen tau cian	wen kuen tau cian	280
渾沌沌	浑沌沌	wen ten ten	wen ten ten	280
渾淘淘	浑淘淘	wen dau dau	wen dau dau	280
渾濁濁	浑浊浊	wen dzoq dzoq	wen dzoq dzoq	280
恨命	恨命	ghen min	ghen min	280
恨性命	恨性命	ghen shin min	ghen shin min	280
穿頂	穿顶	tshoe tin	tshoe tin	280
穿崩	穿崩	tshoe pan	tshoe pan	280
穿繃	穿绷	tshoe pan	tshoe pan	281
穿線繃	穿线绷	tshoe shi pan	tshoe shi pan	281
穿連襠褲	穿连裆裤	tshoe li taon khu	tshoe li taon khu	281
客	客	khaq7	khaq7	281
客邊	客边	khaq pi	khaq pi	281
客堂間	客堂间	khaq daon kae	khaq daon kae	281
誡訓	诫训	kae shiun	kae shiun	281
䜎	䜎	lau6	lau6	281
扁擔星	扁担星	pi tae shin	pi tae shin	281
扁捏豆	扁捏豆	pi gniaq deu	pi gniq deu	282
扁窄窄	扁窄窄	pi tso tso	pi tso tso	282
扁得得	扁得得	pi taq taq	pi taq taq	282
謰謰謱謱	謰謰𫍴𫍴	lhi lhi lho lho	lhi lhi lho lho	282
衲	衲	naq8	naq8	282
衲頭	衲头	naq deu	naq deu	282
衲頭	衲头	naq dei	naq dei	282
祖基	祖基	tsu ci	tsu ci	282
神綻	神绽	zyun dzae	zyun dzae	282
神志無知	神志无知	zyun tsy vu tsyu	zyun tsy wu tsyu	282
神志無知	神志无知	zyun tsy wu tsyu	zyun tsy wu tsyu	282
神經忥忥	神经忥忥	zyun cin shi shi	zyun cin shi shi	282
說話	说话	syuq wo	soq wo	282
既	既	ci5	ci5	282
退皮	退皮	thei bi	thei bi	283
退過	退过	thei kou	thei kou	283
屋爿	屋爿	oq bae	oq bae	283
屋裏	屋里	oq li	oq li	283
屋裏	屋里	uaq li	uaq li	283
屋柱	屋柱	oq dzyu	oq dzyu	283
屋頭頂	屋头顶	oq deu ten	oq deu ten	283
屋山尖頭	屋山尖头	oq sae ci deu	oq sae ci deu	283
屋裏無賴	屋里无赖	oq li vu la	oq li wu la	284
屋裏無賴	屋里无赖	oq li wu la	oq li wu la	284
屋跟無賴	屋跟无赖	oq ken vu la	oq ken wu la	284
屋跟無賴	屋跟无赖	oq ken wu la	oq ken wu la	284
晝過	昼过	cieu kou	cieu kou	284
晝過頭	昼过头	cieu kou deu	cieu kou deu	284
晝飯	昼饭	cieu vae	cieu vae	284
眉眼	眉眼	mi ngae	mi ngae	284
除出	除出	dzyu tshyuq	dzyu tshyuq	284
除𩌑	除𩌑	dzyu iu	dzyu iu	284
娃	娃	uae3	uae3	284
姨丈	姨丈	yi jian	yi jian	284
姨爹	姨爹	yi tia	yi tia	284
姨孃	姨娘	yi gnian	yi gnian	285
姨婆	姨婆	yi bou	yi bou	285
姨丈公	姨丈公	yi jian kon	yi jian kon	285
姨媽頭	姨妈头	yi mo deu	yi mo deu	285
架	架	ko5	ko5	285
孲𤘅	孲𤘅	nk nga	nk nga	285
絨線衫	绒线衫	gnion shi sae	gnion shi sae	285
結頭	结头	ciq deu	ciq deu	285
結夾	结夹	ciq kaq	ciq kaq	285
結棍	结棍	ciq kuen	ciq kuen	285
結蛛	结蛛	ciq tsyu	ciq tsyu	286
結蛛	结蛛	tsoq tsyu	tsoq tsyu	286
結蛛亂網	结蛛乱网	ciq tsyu loe maon	ciq tsyu loe maon	286
結蛛亂網	结蛛乱网	tsoq tsyu loe maon	tsoq tsyu loe maon	286
繞	绕	gniau4	gniau6	286
繞繞頭	绕绕头	gniau gniau deu	gniau gniau deu	286
絎	绗	ghaon2	ghaon2	286
絎針	绗针	ghaon cin	ghaon cin	286
𥿯	𥿯	phan1	phan1	286
絡	络	loq8	loq8	286
絡繩	络绳	loq zhin	loq zhin	286
絞	绞	gau4	gau6	286
絞軋	绞轧	gau gaq	gau gaq	287
絞只	绞只	gau ciq	gau ciq	287
絞身	绞身	ciau shin	ciau shin	287
絞股	绞股	gau ku	gau ku	287
絞面	绞面	gau mi	gau mi	287
絞七八	绞七八	gau chiq paq	gau chiq paq	287
絞七絞八	绞七绞八	gau chiq gau paq	gau chiq gau paq	287
絞衣八𠡒	绞衣八𠡒	gau i paq tei	gau i paq tei	287
絞嘴絞得	绞嘴绞得	gau tsyu gau taq	gau tsyu gau taq	287
統扯	统扯	thon tsho	thon tsho	287
統整	统整	thon cin	thon cin	287
耖田	耖田	tshau di	tshau di	288
挈	挈	chiq7	chiq7	288
挈頭	挈头	chiq deu	chiq deu	288
挈夾	挈夹	chiq kaq	chiq kaq	288
挈當	挈当	chiq taon	chiq taon	288
挈當桶	挈当桶	chiq taon don	chiq taon don	288
挈水桶	挈水桶	chiq syu don	chiq syu don	288
挈後腳	挈后脚	chiq gheu ciaq	chiq gheu ciq	288
珠珠魚	珠珠鱼	tsyu tsyu ng	tsyu tsyu ng	288
班	班	pae1	pae1	288
素雞	素鸡	su ci	su ci	288
素淨	素净	su zhin	su zhin	289
蠶豆	蚕豆	zei deu	zei deu	289
撈	捞	lhau1	lhau1	289
挭	挭	kuan1	kuan1	289
捂	捂	u5	u5	289
捂雪	捂雪	u syuq	u soq	289
攦	攦	li4	li6	289
摙	摙	li4	li6	289
載	载	ze6	ze6	289
趕水	赶水	ki syu	ki syu	290
趕出	赶出	ki tshyuq	ki tshyuq	290
趕進	赶进	ki cin	ki cin	290
起	起	chi3	chi3	290
起頭	起头	chi deu	chi deu	290
起家	起家	chi ko	chi ko	290
起頭家	起头家	chi deu ko	chi deu ko	290
起沙	起沙	chi so	chi so	290
起貨	起货	chi hou	chi hou	290
起腳	起脚	chi ciaq	chi ciq	290
起燥	起燥	chi sau	chi sau	290
起黑心	起黑心	chi haq shin	chi haq shin	290
起頭落腳	起头落脚	chi deu loq ciaq	chi deu loq ciq	291
鹽	盐	yi6	yi6	291
鹽花	盐花	yi huo	yi huo	291
鹽茄糊	盐茄糊	yi jia wu	yi jia wu	291
捎	捎	shiau1	shiau1	291
捎	捎	sau1	sau1	291
捎棚	捎棚	sau ban	sau ban	291
埕	埕	jin2	jin2	291
埕頭泥	埕头泥	jin deu gni	jin deu gni	291
捏	捏	gniaq8	gniq8	291
埋	埋	mha1	mha1	291
捉漏	捉漏	tsoq leu	tsoq leu	292
挫氣	挫气	tshou chi	tshou chi	292
捋	捋	laq8	laq8	292
挼	挼	nou2	nou2	292
挽	挽	uae3	uae3	292
熱拆	热拆	gniq tshaq	gniq tshaq	292
熱度	热度	gniq du	gniq du	292
熱癤	热疖	gniq ciq	gniq ciq	293
熱癤	热疖	gniq tsoq	gniq tsoq	293
熱絡	热络	gniq loq	gniq loq	293
熱落	热落	gniq loq	gniq loq	293
熱石	热石	gniq zaq	gniq zaq	293
熱天家	热天家	gniq thi ko	gniq thi ko	293
熱氣肉	热气肉	gniq chi gnioq	gniq chi gnioq	293
熱度度	热度度	gniq du du	gniq du du	293
熱炦炦	热炦炦	gniq baq baq	gniq baq baq	293
熱烔烔	热烔烔	gniq don don	gniq don don	293
熱溫溫	热温温	gniq uen uen	gniq uen uen	293
熱熇熇	热熇熇	gniq hau hau	gniq hau hau	293
熱血括心	热血括心	gniq shiuq kuaq shin	gniq shiuq kuaq shin	294
熱拆骨頭	热拆骨头	gniq tshaq kuaq deu	gniq tshaq kuaq deu	294
熱拆骨頭	热拆骨头	gniq tshaq kuaq dei	gniq tshaq kuaq dei	294
搗	捣	tau3	tau3	294
搗親	捣亲	tau chin	tau chin	294
搗梗	捣梗	tau gan	tau gan	294
搗子頭	捣子头	tau tsy deu	tau tsy deu	294
搗臼丸	捣臼丸	tau jieu wun	tau jieu wu	294
挨	挨	a1	a1	294
挨	挨	a1	a5	294
挨排生	挨排生	a ba san	a ba san	295
挨五接頭	挨五接头	a ng ciq deu	a ng ciq deu	295
挨擠弗開	挨挤弗开	a ci vaq khe	a ci faq khe	295
捘	捘	tsen3	tsen3	295
㒼	㒼	mun6	moe6	295
㒼襠褲	㒼裆裤	mun taon khu	moe taon khu	295
㒼絲彌縫	㒼丝弥缝	mun sy mi von	moe sy mi von	295
㒼絲彌縫	㒼丝弥缝	mi sy mi von	mi sy mi von	295
蓮心	莲心	li shin	li shin	295
蓮蓬頭	莲蓬头	li bon deu	li bon deu	295
莫	莫	mhau1	mhau1	296
莫	莫	mau4	mau6	296
莫怕	莫怕	mhau pho	mhau pho	296
惡	恶	ou5	ou5	296
惡	恶	oq7	oq7	296
惡氣	恶气	oq chi	oq chi	296
惡尖尖	恶尖尖	oq ci ci	oq ci ci	296
惡弄送	恶弄送	oq lon son	oq lon son	296
惡蚊蟲	恶蚊虫	oq men dzon	oq men dzon	296
惡嬲話	恶嬲话	oq na ghou	oq na ghou	297
惡嬲話	恶嬲话	oq na wo	oq na wo	297
惡氣倒出	恶气倒出	oq chi tau tshyuq	oq chi tau tshyuq	297
噁心䑆䑆	恶心䑆䑆	oq shin yan yan	oq shin yan yan	297
惡嘴眼相	恶嘴眼相	oq tsyu ngae shian	oq tsyu ngae shian	297
真個	真个	cin kou	cin kou	297
真個	真个	cin khou	cin khou	297
真真	真真	cin cin	cin cin	297
真真	真真	tsyun tsyun	tsyun tsyun	297
真道話	真道话	cin dau wo	cin dau wo	297
真道話	真道话	tsyun dau wo	tsyun dau wo	297
真道話	真道话	cin tau wo	cin tau wo	297
真道話	真道话	tsyun tau wo	tsyun tau wo	297
莙薘	莙荙	ciun daq	ciun daq	297
桂花蒸	桂花蒸	kuei huo cin	kuei huo cin	297
椏杈	桠杈	o tsho	o tsho	297
椏𥿯	桠𥿯	o phan	o phan	297
棲蟲	栖虫	chi dzon	chi dzon	298
株	株	tsyu1	tsyu1	298
橋蜆	桥蚬	jiau shi	jiau shi	298
橋鋪	桥铺	jiau phu	jiau phu	298
橋眠牀	桥眠床	jiau mi zaon	jiau mi zaon	298
橋頭三叔公	桥头三叔公	jiau deu sae soq kon	jiau deu sae soq kon	298
橋頭老三	桥头老三	jiau deu lau sae	jiau deu lau sae	298
桕子樹	桕子树	jieu tsy zyu	jieu tsy zyu	298
桁條	桁条	ghan diau	ghan diau	298
格	格	kaq7	kaq7	298
格末	格末	kaq maq	kaq maq	298
格柵	格栅	kaq saq	kaq saq	298
格勒	格勒	kaq laq	kaq laq	298
格勒格	格勒格	kaq laq kaq	kaq laq kaq	298
格楞敦	格楞敦	kaq len ten	kaq len ten	299
格步路梯	格步路梯	kaq bu lu the	kaq bu lu the	299
格步路梯	格步路梯	kaq bu lu thi	kaq bu lu thi	299
樁	桩	tsaon1	tsaon1	299
樣色	样色	yan saq	yan saq	299
樣樣色色	样样色色	yan yan saq saq	yan yan saq saq	299
樣範	样范	yan vae	yan vae	299
樣有份	样有份	yan yeu ven	yan yeu ven	299
根頭	根头	ken deu	ken deu	299
根株	根株	ken tsyu	ken tsyu	299
根腳	根脚	ken ciaq	ken ciq	299
根渣	根渣	ken tso	ken tso	299
䢚	䢚	kan5	kan5	300
速朗	速朗	soq laon	soq laon	300
配辦	配办	phei bae	phei bae	300
厝墳	厝坟	tshu ven	tshu ven	300
夏場	夏场	gho jian	gho jian	300
夏場裏	夏场里	gho jian li	gho jian li	300
破裏破碎	破里破碎	phou li phou sei	phou li phou sei	300
原方	原方	gniu faon	gniu faon	300
原舊	原旧	gniu jieu	gniu jieu	300
套	套	thau5	thau5	300
套套	套套	thau thau	thau thau	301
套套	套套	thaon thau	thaon thau	301
𫦃	𫦃	ben2	ben6	301
逐日	逐日	dzoq gniq	dzoq gniq	301
逐節	逐节	dzoq ciq	dzoq ciq	301
逐魂	逐魂	dzoq wen	dzoq wen	301
顧野	顾野	ku ya	ku ya	301
顧着	顾着	ku dzoq	ku dzoq	301
頓頓	顿顿	ten ten	ten ten	301
躉注	趸注	ten tsyu	ten tsyu	301
致意	致意	tsyu i	tsyu i	301
柴爿	柴爿	za bae	za bae	302
柴間	柴间	za kae	za kae	302
柴株	柴株	za tsyu	za tsyu	302
柴蓬	柴蓬	za bon	za bon	302
柴油桶	柴油桶	za yeu don	za yeu don	302
柴白絳花	柴白绛花	za baq cian huo	za baq cian huo	302
桌凳	桌凳	tsoq ten	tsoq ten	302
𬑈㠮	𬑈㠮	phan phon	phan phon	302
曬癟葛藤	晒瘪葛藤	sa piq kaq den	sa piq kaq den	302
䀣	䀣	biq8	biq8	302
䀣眼火	䀣眼火	biq ngae hou	biq ngae hou	302
眠牀	眠床	mi zaon	mi zaon	303
眠倒	眠倒	mi tau	mi tau	303
眠鼾	眠鼾	mi he	mi hei	303
哮管	哮管	hau kun	hau ku	303
鴨泥	鸭泥	aq gni	aq gni	303
鴨尿臭	鸭尿臭	aq syu chieu	aq syu chieu	303
鴨屎臭	鸭屎臭	aq syu chieu	aq syu chieu	303
鴨蛋石子	鸭蛋石子	aq dae zaq tsy	aq dae zaq tsy	303
晐	晐	ghe2	ghe2	303
晐	晐	ghei2	ghei2	303
晐到各處	晐到各处	ghe tau koq tshyu	ghe tau koq tshyu	303
晐到各處	晐到各处	ghei tau koq tshyu	ghei tau koq tshyu	303
晏	晏	ae5	ae5	304
晏到	晏到	ae tau	ae tau	304
晏貨	晏货	ae hou	ae hou	304
晏眼	晏眼	ae ngae	ae ngae	304
暈	晕	yun6	yun6	304
暈暈動	晕晕动	yun yun don	yun yun don	304
䟕	䟕	tsho1	tsho1	304
蚊蟲	蚊虫	men dzon	men dzon	304
蚊蠮絲	蚊蠮丝	men i sy	men i sy	304
哭啜包	哭啜包	khoq tsoq pau	khoq tsoq pau	304
哭啜無賴	哭啜无赖	khoq tsoq vu la	khoq tsoq wu la	304
哭啜無賴	哭啜无赖	khoq tsoq wu la	khoq tsoq wu la	304
哭啜面貌	哭啜面貌	khoq tsoq mi mau	khoq tsoq mi mau	305
喚	唤	hun5	hu5	305
唧唧嘠嘎	唧唧嘠嘎	ciq ciq kaq kaq	ciq ciq kaq kaq	305
唧唧嘠嘎	唧唧嘠嘎	jiq jiq gaq gaq	jiq jiq gaq gaq	305
圓子	圆子	yu tsy	yu tsy	305
圓蛤	圆蛤	yu kaq	yu kaq	305
圓臺面	圆台面	yu de mi	yu de mi	305
圓滾滾	圆滚滚	yu kuen kuen	yu kuen kuen	305
𡇠侄	𡇠侄	tsaq tsy	tsaq tsy	305
𡇠侄	𡇠侄	tsaq tsyu	tsaq tsyu	305
𡇠硬	𡇠硬	tsaq ngan	tsaq ngan	305
賊	贼	zaq8	zaq8	306
賊腔	贼腔	zaq chian	zaq chian	306
賊弗貪	贼弗贪	zaq vaq thei	zaq faq thei	306
賊骨頭	贼骨头	zaq kuaq deu	zaq kuaq deu	306
賊頭狗腦	贼头狗脑	zaq deu keu nau	zaq deu keu nau	306
賊嘸狗樣	贼呒狗样	zaq mh keu yan	zaq mh keu yan	306
賊勒兒子	贼勒儿子	zaq laq ng tsy	zaq laq ng tsy	306
賅	赅	ki1	ki1	306
賅	赅	ke1	ke1	306
鈵	鈵	pin3	pin5	306
鑽子	钻子	tsoe tsy	tsoe tsy	306
鑽𠠖	钻𥧂	tsoe kon	tsoe kon	306
鑽倉老鼠	钻仓老鼠	tsoe tshaon lau tsy	tsoe tshaon lau tsy	307
鐵車	铁车	thiq tsho	thiq tsho	307
鐵爬	铁爬	thiq bo	thiq bo	307
鐵鈀	铁钯	thiq bo	thiq bo	307
鐵絲揢籮	铁丝揢箩	thiq sy khaq lou	thiq sy khaq lou	307
鉛杯	铅杯	khae pei	khae pei	307
鉛桶	铅桶	khae don	khae don	307
缺	缺	chiuq7	chiuq7	307
缺頭	缺头	chiuq deu	chiuq deu	307
缺嘴	缺嘴	chiuq tsyu	chiuq tsyu	307
缺牙弄	缺牙弄	chiuq ngo lon	chiuq ngo lon	307
缺嘴弄	缺嘴弄	chiuq tsyu lon	chiuq tsyu lon	308
毨	毨	sei3	sei3	308
毨	毨	seu3	seu3	308
特爲	特为	daq wei	daq wei	308
特意	特意	daq i	daq i	308
特戇	特戆	daq gaon	daq gaon	308
特特意	特特意	daq daq i	daq daq i	308
特特爲	特特为	daq daq wei	daq daq wei	308
特特爲爲	特特为为	daq daq wei wei	daq daq wei wei	308
特特意意	特特意意	daq daq i i	daq daq i i	308
造	造	zau6	zau6	308
造孽	造孽	zau gniq	zau gniq	308
造大反	造大反	zau dou fae	zau dou fae	308
造反	造反	zau fae	zau fae	308
造孽朋	造孽朋	zau gniq ban	zau gniq ban	309
乘風涼	乘风凉	zhin fon lian	zhin fon lian	309
秤手	秤手	chin shieu	chin shieu	309
秤花	秤花	chin huo	chin huo	309
秤鎚	秤鎚	chin dzyu	chin dzyu	309
秧子	秧子	ian tsy	ian tsy	309
積落	积落	ciq loq	ciq loq	309
透	透	theu5	theu5	309
透鮮	透鲜	theu shi	theu shi	309
透骨新鮮	透骨新鲜	theu kuaq shin shi	theu kuaq shin shi	309
透新鮮	透新鲜	theu shin shi	theu shin shi	309
笓	笓	biq8	biq8	310
筆尖	笔尖	piq ci	piq ci	310
筆陡	笔陡	piq toq	piq toq	310
筆陡翹	笔陡翘	piq toq chiau	piq toq chiau	310
筆套管	笔套管	piq thau kun	piq thau ku	310
笑面虎	笑面虎	shiau mi fu	shiau mi fu	310
筍麩鹹虀	笋麸咸虀	syun fu ghae ci	syun fu ghae ci	310
筍麩鹹菜	笋麸咸菜	syun fu ghae tshe	syun fu ghae tshe	310
筍麩黃豆	笋麸黄豆	syun fu waon deu	syun fu waon deu	310
借	借	cia5	cia5	310
借力使	借力使	cia liq sy	cia liq sy	310
借肩背	借肩背	cia ci pei	cia ci pei	311
借面聾	借面聋	cia mi lon	cia mi lon	311
借面聾	借面聋	cian mi lon	cian mi lon	311
值鈿	值钿	jiq di	jiq di	311
值錢	值钱	jiq di	jiq di	311
傾轉	倾转	jin tsoe	jin tsoe	311
倒大	倒大	tau dou	tau dou	311
倒頭	倒头	tau deu	tau deu	311
倒向	倒向	tau shian	tau shian	311
倒陽	倒阳	tau yan	tau yan	311
倒運	倒运	tau yun	tau yun	311
倒作	倒作	tau tsoq	tau tsoq	312
倒竈	倒灶	tau tsau	tau tsau	312
倒沒	倒没	tau maq	tau maq	312
倒㼑	倒㼑	tau li	tau li	312
倒翻	倒翻	tau fae	tau fae	312
倒扎鉤	倒扎钩	tau tsaq keu	tau tsaq keu	312
倒夜笨	倒夜笨	tau ya ben	tau ya ben	312
倒笡聳	倒笡耸	tau chia son	tau chia son	312
倒皵皮	倒皵皮	tau chiq bi	tau chiq bi	312
倒摸順埭	倒摸顺埭	tau moq zyun da	tau moq zyun da	312
𤖼	𤖼	phaq7	phaq7	313
𤖼腳褲	𤖼脚裤	phaq ciaq khu	phaq ciq khu	313
候	候	gheu6	gheu6	313
候隊	候队	gheu dei	gheu dei	313
候自	候自	gheu zhi	gheu zhi	313
侯竘	侯竘	gheu kheu	gheu kheu	313
候着	候着	gheu dzoq	gheu dzoq	313
候着候	候着候	gheu dzoq gheu	gheu dzoq gheu	314
侯分候數	侯分候数	gheu fen gheu su	gheu fen gheu su	314
候眉刻毛	候眉刻毛	gheu mi khaq mau	gheu mi khaq mau	314
倭豆	倭豆	ou deu	ou deu	314
倭妥	倭妥	ou thou	ou thou	314
倄	倄	iau1	iau1	314
健	健	ji6	ji6	314
臭滷	臭卤	chieu lu	chieu lu	314
臭冬瓜	臭冬瓜	chieu ton kuo	chieu ton kuo	315
臭西西	臭西西	chieu shi shi	chieu shi shi	315
臭西頭	臭西头	chieu shi deu	chieu shi deu	315
臭要死	臭要死	chieu iau shi	chieu iau shi	315
臭豬頭	臭猪头	chieu tsyu deu	chieu tsyu deu	315
臭齈齈	臭齈齈	chieu nhon nhon	chieu nhon nhon	315
臭花娘子	臭花娘子	chieu huo gnian tsy	chieu huo gnian tsy	315
息息介	息息介	shiq shiq ka	shiq shiq ka	315
𠜱	𠜱	phi5	phi5	315
殷青	殷青	i chin	i chin	315
航船	航船	ghaon zoe	ghaon zoe	315
聳	耸	son3	son3	315
爹頭孃腳	爹头娘脚	tia deu gnian ciaq	tia deu gnian ciq	316
舀	舀	iau3	iau3	316
舀	舀	au5	au5	316
舀斗	舀斗	iau teu	iau teu	316
豺狗	豺狗	za keu	za keu	316
胴肛	胴肛	don kon	don kon	316
胭脂紅	胭脂红	i ci ghon	i ci ghon	316
